N_TRA,P7_2,P7_3,P7_4_01,P7_4_02,P7_4_03,P7_4_04,P7_4_05,P7_4_06,P7_4_07,P7_4_08,P7_4_09,P7_4_10,P7_5C_D,P7_5D_H,P7_5D_M,tiempo,P7_6,P7_7,P7_8,P7_9,P7_10,P7_11,P7_12,P7_12A,UPM_DIS,FAC_TRA
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,20,20,2,2,1,2,NA,NA,2,9,4003,213
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,15,15,2,2,1,2,NA,NA,3,7,4003,213
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,3,2,1,2,0,0,50,50,3,3,1,2,NA,NA,3,7,4003,107
2,48,"Banco, supermercado, tiendas o farmacias",2,3,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,4003,2560
19,48,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,3,0,0,5,5,6,6,2,1,2,NA,6,1,4137,963
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,5,5,6,6,2,1,2,NA,6,1,4137,963
4,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,40,40,2,1,1,2,NA,NA,1,10,4137,289
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,2,30,150,6,1,1,2,NA,NA,4,5,4137,289
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,1,1,2,NA,NA,1,10,4137,578
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,3,2,1,2,NA,NA,2,8,4137,4623
8,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4137,578
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,1,0,0,5,5,1,2,1,2,NA,NA,2,9,4137,1156
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,3,3,2,2,1,0,0,30,30,2,2,1,2,NA,NA,2,9,4137,289
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,1,0,0,10,10,2,2,1,2,NA,NA,2,9,4138,2983
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4138,4922
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4138,447
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,2,2,2,2,0,0,30,30,2,2,1,1,2,NA,2,9,4138,447
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,3,3,2,2,3,3,2,2,2,0,0,30,30,3,1,1,2,NA,NA,1,10,4138,1790
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,20,20,2,1,1,2,NA,NA,2,9,4138,298
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4138,298
2,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,1,NA,1,2,NA,NA,1,10,4139,4343
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,1,3,3,2,2,1,0,1,30,90,4,3,1,1,2,NA,3,7,4139,1737
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,35,35,3,2,1,1,2,NA,2,8,4139,434
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,2,0,3,30,210,5,2,1,2,NA,NA,3,7,4139,290
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,3,30,210,5,2,1,2,NA,NA,3,7,4139,579
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,1,2,2,2,2,2,0,5,0,300,6,3,2,1,1,1,4,5,3936,1386
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,1,2,2,2,2,2,0,4,0,240,6,6,2,2,NA,NA,4,5,3936,462
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,1,2,2,2,2,2,0,2,30,150,6,6,1,2,NA,NA,6,1,3936,462
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,10,10,2,NA,1,2,NA,NA,2,9,3936,1155
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,1,0,60,2,2,1,2,NA,NA,1,10,3936,231
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,1,1,1,2,1,2,NA,NA,3,7,3936,116
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,1,1,2,2,2,1,1,1,4,5,3936,116
2,51,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,10,10,1,1,1,2,NA,NA,1,10,4142,8208
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,1,1,1,2,NA,NA,1,10,4142,7462
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,2,2,1,2,NA,NA,2,8,4142,5472
4,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,2,3,3,2,1,1,0,3,0,180,3,2,1,2,NA,NA,2,9,4143,152
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,1,2,2,0,1,0,60,2,1,1,2,NA,NA,1,10,4143,152
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,1,1,1,2,NA,NA,1,10,4143,152
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,30,30,1,1,1,2,NA,NA,1,10,4143,456
19,51,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,5,5,1,1,1,2,NA,NA,1,10,4143,152
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4144,494
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,3,3,1,1,2,NA,3,7,4144,494
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,20,20,1,1,1,2,NA,NA,1,10,4144,7251
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,1,1,1,2,NA,NA,2,8,4144,1648
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,8,4144,3296
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,8,4144,330
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,2,2,1,2,NA,NA,1,10,4144,3296
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,2,2,1,2,NA,NA,2,9,4145,4646
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,2,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4145,929
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,2,2,1,2,NA,NA,1,10,4145,3098
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,1,1,0,1,0,60,3,2,1,2,NA,NA,2,9,4145,1084
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4145,155
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,1,1,1,2,NA,NA,1,10,4145,155
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,2,1,1,2,NA,NA,1,10,4146,1681
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,3,2,1,2,0,1,30,90,2,2,1,2,NA,NA,2,8,4146,336
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,3,3,2,1,2,0,1,30,90,2,2,1,2,NA,NA,2,8,4146,336
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4146,3362
2,48,"Banco, supermercado, tiendas o farmacias",1,2,2,1,2,3,3,2,1,2,0,0,20,20,2,2,1,2,NA,NA,2,9,4146,3362
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,3,7,4146,3362
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4146,3698
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,2,1,2,NA,NA,1,10,4146,3698
4,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,10,10,2,NA,1,2,NA,NA,2,9,4147,828
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,2,2,3,3,2,1,2,0,5,0,300,5,2,1,2,NA,NA,4,5,4147,1656
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,1,2,2,2,0,0,10,10,5,3,1,2,NA,NA,3,7,4147,1656
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,2,2,2,2,0,1,0,60,2,1,1,2,NA,NA,1,10,4147,1104
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,2,2,2,2,0,0,20,20,1,1,1,2,NA,NA,1,10,4147,1104
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4148,3158
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,20,20,2,1,1,2,NA,NA,1,10,4148,3158
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,1,NA,1,2,NA,NA,1,10,3943,3502
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,2,2,1,2,0,0,30,30,1,1,1,2,NA,NA,1,10,3943,350
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,1,0,0,30,30,2,1,1,2,NA,NA,2,9,3943,350
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,10,10,1,2,1,2,NA,NA,2,9,3943,350
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,2,NA,1,2,NA,NA,2,9,3943,3502
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,1,2,2,3,3,2,1,2,0,1,0,60,2,2,1,2,NA,NA,2,9,3943,350
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,1,10,4148,947
9,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,1,2,0,0,30,30,2,2,1,2,NA,NA,2,9,4148,158
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,2,1,1,2,NA,NA,2,9,4149,3362
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,45,45,3,1,1,2,NA,NA,1,10,4149,4585
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,8,8,1,1,1,2,NA,NA,2,8,4149,917
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,4149,4585
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,5,5,2,2,1,2,NA,NA,2,9,3944,484
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,5,5,2,2,1,2,NA,NA,2,9,3944,484
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,1,0,0,5,5,1,1,1,2,NA,NA,1,10,3945,8453
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,3,3,1,2,1,2,NA,NA,2,9,3945,1127
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,30,30,3,2,1,2,NA,NA,2,8,3945,1127
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,18,18,3,2,1,1,2,NA,3,7,3945,1127
13,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,1,2,2,2,2,2,90,3,0,129780,6,3,1,1,2,NA,4,5,3945,1127
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,3,3,2,2,1,2,NA,NA,2,9,3945,9298
4,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,10,10,2,NA,1,2,NA,NA,2,9,3945,845
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,2,2,2,0,4,0,240,5,2,1,2,NA,NA,5,3,3945,845
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,8,3946,1697
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,0,60,3,3,1,2,NA,NA,3,7,3946,309
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,4,4,1,2,NA,NA,3,6,3946,1697
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,3946,463
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,2,NA,1,2,NA,NA,2,9,3946,1697
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,3947,636
2,48,"Banco, supermercado, tiendas o farmacias",3,2,2,2,2,3,3,2,2,2,0,0,10,10,2,2,1,2,NA,NA,2,9,3947,1399
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,1,0,3,0,180,6,6,1,1,2,NA,6,1,3947,1399
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,3947,890
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,3,3,1,2,NA,NA,2,8,3947,1399
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,1,3,3,2,2,1,0,3,0,180,6,6,1,1,2,NA,6,1,3948,511
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,1,NA,1,2,NA,NA,2,8,3948,4220
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,4,4,1,2,1,2,NA,NA,1,10,3948,2813
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,1,3,3,2,2,2,0,1,0,60,5,5,1,1,2,NA,4,5,3949,604
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,3,3,2,NA,1,2,NA,NA,2,9,3949,1511
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,1,10,3949,302
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,2,1,3,3,2,2,2,0,3,0,180,2,2,1,2,NA,NA,2,9,3949,151
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,2,NA,1,2,NA,NA,2,9,3949,3324
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,1,3,3,2,2,1,0,2,0,120,6,6,1,1,2,NA,6,1,3949,604
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,1,0,60,4,5,1,2,NA,NA,4,4,3949,302
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,3,3,1,2,NA,NA,2,9,3949,1662
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,4,4,1,NA,1,2,NA,NA,1,10,3950,1987
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,40,40,2,1,1,2,NA,NA,2,8,3950,4635
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,1,1,1,1,1,2,NA,NA,2,9,3950,662
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,1,3,3,2,1,1,2,6,0,3240,6,2,1,1,2,NA,5,3,3950,497
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,1,0,3,0,180,2,2,1,2,NA,NA,2,8,3950,497
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,3950,1821
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,2,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,3950,1821
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,2,2,1,2,NA,NA,2,8,3950,7284
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,1,3,3,2,2,2,0,2,30,150,5,5,1,1,2,NA,5,3,3950,662
7,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,1,0,0,30,30,2,2,1,2,NA,NA,2,9,4155,3562
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4156,1844
4,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,15,15,2,NA,1,2,NA,NA,1,10,4156,168
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,2,0,3,30,210,4,1,1,2,NA,NA,2,8,4156,168
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,1,1,1,2,NA,NA,1,10,4156,3856
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,2,2,1,1,1,2,NA,NA,1,10,4156,5532
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,1,3,3,1,1,1,0,4,0,240,6,6,1,1,2,NA,6,1,4156,503
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,1,3,3,1,1,1,0,5,0,300,6,6,1,1,2,NA,6,1,4156,1509
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,2,2,1,0,1,30,90,2,2,1,2,NA,NA,3,7,4156,2515
2,51,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,3,3,2,NA,1,2,NA,NA,2,9,4156,7376
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,10,10,1,2,1,2,NA,NA,2,8,4156,1676
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,3,0,180,5,5,1,1,1,1,5,2,4156,335
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,1,3,3,1,2,2,0,3,0,180,6,2,1,1,2,NA,5,2,4156,335
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,1,1,2,NA,NA,1,10,4157,8630
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,1,2,2,3,2,2,2,0,2,0,120,3,3,1,2,NA,NA,3,7,4157,785
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,3,3,3,2,1,2,NA,NA,2,8,4157,785
2,51,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,5,5,1,2,1,2,NA,NA,2,9,4157,5230
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,3,3,2,2,2,0,1,0,60,3,2,1,2,NA,NA,2,8,4157,10461
19,51,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,3,0,0,30,30,6,6,2,1,2,NA,6,1,4157,523
4,48,Líneas de atención telefónica,3,3,3,3,3,9,3,3,3,3,0,0,1,1,1,1,1,2,NA,NA,1,10,4157,1046
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,40,40,1,1,1,2,NA,NA,1,10,4157,1046
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,2,3,2,2,2,0,2,0,120,5,2,1,2,NA,NA,2,8,4157,1046
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,15,75,2,2,1,2,NA,NA,2,8,4158,3487
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,1,0,3,0,180,5,2,1,2,NA,NA,2,8,4158,872
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,1,0,0,40,40,2,2,1,2,NA,NA,2,8,4158,872
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,1,0,0,15,15,2,2,1,2,NA,NA,2,9,4158,872
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,1,2,3,3,2,2,2,0,1,30,90,2,2,1,2,NA,NA,2,8,4158,654
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,6,6,1,2,1,2,NA,NA,2,8,4158,4795
4,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4158,872
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,1,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4158,436
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,4158,13076
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,2,0,1,0,60,3,2,1,2,NA,NA,2,8,4158,436
2,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,9,1,1,2,3,3,2,1,1,0,1,0,60,5,6,1,1,2,NA,6,1,4158,4359
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,30,30,2,1,1,2,NA,NA,2,8,4158,4795
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,2,1,3,3,2,2,2,0,2,0,120,5,6,1,1,2,NA,6,1,4158,436
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,30,30,2,1,1,2,NA,NA,1,10,4158,436
8,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,15,15,1,1,1,2,NA,NA,1,10,4158,436
2,51,Cajero automático o kiosco inteligente,2,2,2,2,2,3,3,2,2,2,0,0,5,5,2,NA,1,2,NA,NA,2,9,4158,2397
4,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,0,15,15,2,2,1,2,NA,NA,2,9,4158,218
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,9,4158,436
