N_TRA,P7_2,P7_3,P7_4_01,P7_4_02,P7_4_03,P7_4_04,P7_4_05,P7_4_06,P7_4_07,P7_4_08,P7_4_09,P7_4_10,P7_5C_D,P7_5D_H,P7_5D_M,tiempo,P7_6,P7_7,P7_8,P7_9,P7_10,P7_11,P7_12,P7_12A,UPM_DIS,FAC_TRA
5,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,3,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,8,4170,410
4,51,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,3,3,2,1,1,0,5,0,300,6,4,1,1,2,NA,5,2,4171,401
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,1,3,3,3,0,0,1,1,2,NA,1,2,NA,NA,2,9,4015,5672
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,9,4015,688
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,9,4015,688
9,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,20,20,2,2,1,2,NA,NA,2,9,4015,688
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,3920,1256
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,1,0,0,10,10,2,2,1,2,NA,NA,2,9,3958,3035
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,1,1,2,2,1,2,NA,NA,2,8,3958,304
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,4,0,240,3,1,1,2,NA,NA,1,10,3958,304
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,0,20,20,2,6,1,2,NA,NA,4,5,3959,8155
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,3,2,2,2,0,1,0,60,3,2,1,2,NA,NA,2,8,3959,815
19,48,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,2,0,0,5,5,6,6,2,1,2,NA,6,1,3959,815
2,48,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,1,0,0,5,5,2,2,1,2,NA,NA,2,8,3959,4893
9,61,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,2,2,3,2,2,2,1,30,0,20,43220,1,1,1,1,2,NA,2,9,3959,489
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,2,2,1,2,2,0,2,0,120,3,2,1,2,NA,NA,2,8,3960,386
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,1,NA,1,2,NA,NA,1,10,3960,5784
2,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,1,NA,1,2,NA,NA,1,10,4019,11953
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,1,2,0,0,8,8,1,1,1,2,NA,NA,1,10,4165,5916
5,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,1,1,2,NA,1,2,NA,NA,2,8,4165,538
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,3,2,0,1,0,60,2,2,1,1,2,NA,2,8,4165,3227
